Size (bp),A2,A3,A4,A5
226.38,6.67,0.49,2.75,32.17
227.02,7.12,0.87,3.06,32.14
227.65,7.57,1.24,3.38,32.11
228.29,7.16,2.03,3.20,30.99
228.92,6.75,2.83,3.01,29.87
229.56,4.78,3.13,2.79,28.32
230.19,4.13,3.43,2.57,26.76
230.83,3.49,2.88,2.40,25.35
231.46,3.58,2.65,2.24,23.93
232.10,3.66,2.43,1.81,23.16
232.73,3.88,2.38,1.39,22.39
233.37,4.09,2.34,0.47,21.61
234.00,3.85,2.25,0.52,20.57
234.63,3.77,2.15,0.56,19.52
235.27,3.68,2.07,1.15,18.48
235.90,3.85,1.99,1.74,17.44
236.54,4.03,2.44,2.51,16.52
237.17,3.91,3.03,3.28,15.60
237.81,3.79,3.62,3.84,15.26
238.44,3.06,4.19,4.40,14.91
239.08,2.34,4.75,4.68,14.57
239.71,0.93,4.69,4.96,14.58
240.35,0.81,4.63,5.20,14.60
240.98,0.69,3.99,5.01,14.78
241.62,0.85,3.35,4.82,14.97
242.25,1.01,2.50,4.23,14.71
242.88,0.95,2.83,3.64,14.46
243.52,0.90,3.15,3.12,14.20
244.15,0.45,3.88,2.61,13.10
244.79,0.42,4.62,2.67,11.99
245.42,0.39,5.16,2.74,11.07
246.06,0.68,5.71,3.38,10.15
246.69,0.98,5.77,4.01,10.13
247.33,1.46,5.83,5.56,10.11
247.96,1.94,4.98,6.04,10.51
248.60,2.27,4.38,6.52,10.91
249.23,2.61,3.77,6.56,11.31
249.87,2.47,3.49,6.61,11.90
250.50,2.19,3.21,6.25,12.48
251.13,1.90,3.35,5.90,12.56
251.77,1.91,3.48,5.27,12.63
252.40,1.92,3.44,4.64,12.17
253.04,2.40,3.40,3.93,11.70
253.67,2.89,2.09,3.23,11.24
254.31,4.17,1.37,1.97,10.07
254.94,4.44,0.66,1.44,8.89
255.58,4.70,0.71,0.90,7.84
256.21,4.31,0.77,0.49,6.80
256.85,3.92,1.30,0.07,6.10
257.48,3.11,1.84,0.03,5.40
258.12,2.30,1.86,0.00,5.21
258.75,1.53,1.88,0.51,5.01
259.38,0.77,0.91,1.01,4.82
260.02,0.00,0.82,1.67,5.25
260.65,0.22,0.73,2.34,5.67
261.29,0.43,1.26,2.75,6.56
261.92,1.32,1.78,2.60,7.45
262.56,2.21,2.40,2.44,8.14
263.19,3.09,3.02,2.29,8.83
263.83,3.97,3.46,2.15,9.09
264.46,4.33,3.89,1.89,9.35
265.10,4.04,4.30,1.63,9.60
265.73,3.75,4.04,1.25,9.94
